"","KIR3DP1","KIR2DS5","KIR2DL3","KIR2DP1","KIR2DS3","KIR2DS2","KIR2DL4","KIR3DL3","KIR3DL1","KIR3DS1","KIR2DL2","KIR3DL2","KIR2DS4","KIR2DL1","KIR2DS1","KIR2DL5"
"1001_S289_L001_R",0.515742522301907,0.524838201854119,0.000349833828931258,0.634773482595767,1.12760188910268,1.15348959244359,0.850096204302956,1,0,1.37878257827532,0.920412803918139,1.45644568829806,0,0.421025013118769,0.533933881406332,1.18891026762288
"1002_S290_L001_R",0.237034555909116,0.517333779936359,0.667392396583487,0.635627756378049,0.000111650756433875,0.581756266398705,0.441913693965277,1,0.648858371015464,0.0403059230726288,0.500753642605929,1.34086975939262,0.674482219617038,0.565566906715793,0.29475799698543,0.388432981633451
"1003_S291_L001_R",0.435730652672038,0.513415625692956,1.26668637741149,1.23002439204671,0,0.00118264468918619,0.887427008648089,1,0.681646832729692,0.655480818981447,0.000147830586148274,1.34880626801685,0.66338975534038,1.06046270973464,0.244290043610023,0.455983442974351
"1004_S292_L001_R",0.506225165562914,0.523134657836645,0.000794701986754967,0.676600441501104,0.68233995584989,1.17116997792494,0.919646799116998,1,0.67766004415011,0.726490066225166,0.868520971302428,1.35726269315673,0.648476821192053,0.405342163355408,0.293598233995585,0.813156732891832
"1005_S293_L001_R",0.463712885799238,0.000293144604045396,1.29364713765233,1.30055697474769,8.37556011558273e-05,0.000251266803467482,0.91670505465053,1,1.30746681184304,0.0469868922484191,0.000837556011558273,1.35839021734578,1.27547217220152,1.03199463964153,0.00201013442773986,0.0223627455086059
"1007_S294_L001_R",0.433876651982379,0.484581497797357,0.631013215859031,1.26140969162996,1.01277533039648,0.562995594713656,0.79647577092511,1,0.000881057268722467,1.17334801762115,0.467092511013216,1.20977973568282,0.00013215859030837,0.857444933920705,0.433656387665198,1.0488986784141
"1008_S295_L001_R",0.437705906918472,0.000139204677277157,1.24147371351677,1.20128996334277,0.000139204677277157,0.000139204677277157,0.892580390701128,1,1.24077769013039,0.0413437891513155,0.00092803118184771,1.31622662521461,1.17716115261473,1.00032481091365,0.00143844833186395,0.0182358127233075
"1009_S296_L001_R",0.482229704451927,0.000810574884648959,1.28095772540217,1.28943758573388,0.532298291557551,6.23519142037661e-05,0.917820177079436,1,0.670781893004115,0.751964085297419,0.000748222970445193,1.40990148397556,0.677079436338696,1.07239057239057,0.286008230452675,0.470632248410026
"1010_S297_L001_R",0.465304384844615,0,1.30991911451682,1.25521498510004,0,0,0.882237122179651,1,1.25744997871435,0.0622605363984674,0.00042571306939123,1.27852277564921,1.26974244359302,1.07359514687101,0,0.0315559812686249
"1011_S298_L001_R",0.474074560252035,0.00019690207403518,0.691454449986873,1.27553163559989,0.667563665003938,0.587752690995012,0.831254922551851,1,1.19217642425834,0.0616303491730113,0.444473615122079,1.3274481491205,1.25190338671567,0.924717773693883,0.00826988710947755,0.396166972958782
"1014_S299_L001_R",0.455994564649315,0.486045782376921,1.24542698860667,1.23183861189506,0,0.000313577924114142,0.858628619211874,1,0.604421448730009,0.692223267481969,0.000313577924114142,1.2327793456674,0.555712344517613,1.03208947423435,0.250130657468381,0.443503710672102
"1015_S300_L001_R",0.479111440992472,0,1.33448202735659,1.31025341957375,5.30166472272294e-05,0.000265083236136147,0.906160534407804,1,1.34884953875517,0.0561446294136359,0.000318099883363376,1.3876577245255,1.27308874986746,1.04861626550737,0.00445339836708727,0.0308026720390203
"1016_S301_L001_R",0.500757247944613,0.000649069666810904,0.000865426222414539,0.630787537862397,1.16897446992644,1.16540458675898,0.873864128083081,1,0.727498918217222,0.830700995240156,0.949588922544353,1.45283427087841,0.733016010385115,0.415080051925573,0.317935958459541,0.847901341410645
"1017_S302_L001_R",0.252487401473059,0.511370978162553,1.26870396692079,1.22683809277684,0,0.000387646982814317,0.453934616875565,1,0.00277813671016927,0.698410647370461,0.000258431321876211,0.871171986044709,6.46078304690528e-05,0.943726579661455,0.272257397596589,0.472154025067838
